sndfile,tempo,cond,delay,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,space,14.22173959,,,,,,,,,,,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/medium_100_1.wav,100,medium,1.797198505,0,0,0,0,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.5022958460031077, 3.1188660049811006, 3.708234149031341, 4.36967523698695, 5.0699132670415565, 5.693428533966653, 6.369609416928142, 7.019396302988753, 7.65277956193313, 8.303064735024236, 8.936323708039708, 9.569185803993605, 10.259283473016694]",space,1.719619576,,,,,,,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/medium_110_1.wav,110,medium,0.970866786,0,1,1,2,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.7362261590315029, 1.2860480939270929, 1.8356220290297642, 2.385760289034806, 2.952956742956303, 3.5295148940058425, 4.102086620987393, 4.70308190502692, 5.270075842970982, 5.903489177930169, 6.452934112981893, 7.02988381893374, 7.603611225960776, 8.186330211930908, 8.753226864966564, 9.304711785982363, 9.903620498022065]",space,1.618890415,,,,,,,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/vweak_105_1.wav,105,veryweak,1.91267155,0,2,2,3,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.7513450310798362, 1.2356809669872746, 1.851704359985888, 2.4863301570294425, 3.091705786064267, 3.7034116049762815, 4.269307111040689, 4.836030550068244, 5.4699330610455945, 6.01997482299339, 6.579840234015137, 7.203480013995431, 7.770340712042525, 8.386642727069557, 8.98692022508476, 9.579399792011827, 10.18711489008274]",space,0.899072685,,,,,,,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/strong_90_1.wav,90,strong,1.013023596,0,3,3,1,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.8163133210036904, 2.435533900046721, 3.1527841810602695, 3.852632253081538, 4.569259292096831, 5.235718238051049, 5.952173308003694, 6.6411817480111495, 7.3037307620979846, 8.019720719079487, 8.719859978067689, 9.403654449037276, 10.120528242085129]",space,1.118613316,,,,,,,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/medium_110_1.wav,110,medium,1.222685394,0,4,4,4,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.24369936797302216, 0.9104957609670237, 1.643566007958725, 2.910887785954401, 3.528099643997848, 4.0602779110195115, 4.643574283923954, 5.2269927529850975, 5.810955011984333, 6.375846638926305, 6.9665918769314885, 7.561220975941978, 8.111141190980561, 8.727599593927152, 9.261946404003538, 9.827425946947187]",space,1.086635807,,,,,,,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
,,,,,,,,,,,,,,,,,,,,,,space,7.853895527,,,,,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/medium_90_1.wav,90,medium,1.382759473,,,,,0,0,0,49,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.6739483809797093, 1.3524546370608732, 2.0900578199652955, 2.8007717150030658, 3.469384512049146, 4.203363114967942, 4.852863076026551, 5.503450348041952, 6.253358638961799, 6.936896882019937, 7.669218386989087, 8.353389239055105, 9.053832301055081, 9.736160007072613]",space,0.903582171,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/weak_105_1.wav,105,weak,2.347668097,,,,,0,1,1,45,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.2022926949430257, 0.619945592014119, 0.968711880967021, 1.335925517953001, 1.6862691469723359, 2.035123285953887, 2.3695339940022677, 2.700393659994006, 3.0357545119477436, 3.369916709023528, 3.6939135889988393, 3.9863327619386837, 4.336628146935254, 4.636517283972353, 4.958064157050103, 5.2694022649666294, 5.619483857997693, 5.9364960950333625, 6.28669290500693, 6.618880062946118, 6.97007230494637, 7.270317974034697, 7.611104074050672, 7.919597911997698, 8.27017659205012, 8.645010299049318, 9.003462341031991, 9.353053343947977, 9.703359927982092, 10.028528793016449]",space,0.609171744,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/weak_110_1.wav,110,weak,2.302762081,,,,,0,2,2,3,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.6688662719679996, 1.002742551965639, 1.3519292449345812, 1.6524195969104767, 1.952612226945348, 2.368221429991536, 2.953033080906607, 3.5025987859116867, 4.0690479188924655, 4.692487662890926, 5.31817682494875, 5.919515297980979, 6.536653566989116, 7.103470467962325, 7.678852809942327, 8.254154974943958, 8.837069274974056, 9.404129613889381, 9.97044440289028]",space,0.826234786,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
