sndfile,tempo,cond,delay,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,15.805949541041628,,,,,,,,,,,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/vweak_105_1.wav,105,veryweak,1.91267155,0,0,0,3,,,,,,,,,,,"['space', 'space', 'space']","[8.403618187992834, 8.95422767905984, 9.521153634996153]",space,1.218364792992361,,,,,,,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/medium_100_1.wav,100,medium,1.797198505,0,1,1,0,,,,,,,,,,,None,,space,4.8361624230165035,,,,,,,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/strong_90_1.wav,90,strong,1.013023596,0,2,2,1,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.8270417100284249, 2.43645976705011, 3.135717221070081, 3.8277593590319157, 4.536106665036641, 5.234942564973608, 5.886066609062254, 6.602086019003764, 7.30312275106553, 8.036221195012331, 8.770795301068574, 9.454237697995268]",space,2.753266849089414,,,,,,,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/medium_110_1.wav,110,medium,0.970866786,0,3,3,2,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.8752769600832835, 2.4026497040176764, 2.952907129074447, 3.503483468084596, 4.053333160001785, 4.636211571050808, 5.244801721069962, 5.836253085057251, 6.384436879074201, 6.945746051031165, 7.58748090302106, 8.155928182066418, 8.7367904210696, 9.254110143054277]",space,1.1183540089987218,,,,,,,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/medium_110_1.wav,110,medium,1.222685394,0,4,4,4,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.2363654769724235, 1.719584172940813, 2.2694675310049206, 2.8365655340021476, 3.5262286509387195, 4.069926735945046, 4.636963848955929, 5.203502385993488, 5.803124030935578, 6.386750177945942, 6.954302818980068, 7.604294092976488, 8.170861828955822, 8.787469635019079, 9.271254871040583]",space,0.9992202309658751,,,,,,,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
,,,,,,,,,,,,,,,,,,,,,,space,13.387868024059571,,,,,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/medium_90_2.wav,90,medium,2.1384331573709567,,,,,0,0,0,46,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.027425745036453, 1.6780914600240067, 6.361338629038073, 7.11628927604761, 7.8620112859644, 8.612186869024299, 9.362111240974627]",space,1.5694156069075689,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/weak_105_1.wav,105,weak,2.3476680969619683,,,,,0,1,1,45,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.3531060880050063, 1.9698747490765527, 2.5367402730043977, 3.229056233074516, 4.50374761398416, 5.1431137170875445, 5.986647154088132, 6.643864389043301, 7.270147570990957, 7.951840815017931, 8.713045030017383, 9.387542103067972]",space,0.8864793370012194,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/medium_95_2.wav,95,medium,2.475357682924177,,,,,0,2,2,14,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.5192423020489514, 2.461126568960026, 3.4756207689642906, 4.168881837977096, 4.894887714996003, 5.518948798067868, 6.218375444994308, 6.961056077037938, 7.653175094048493, 8.286911230068654, 8.952874363982119]",space,8.046279173111543,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/perfect_90_0.wav,90,perfect,1.6568604876231643,,,,,0,3,3,35,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.0359432310797274, 2.7038531340658665, 3.31788808607962, 3.936372910044156, 4.637091952026822, 5.243751080008224, 5.919307172996923, 6.587182561052032]",space,0.46691306307911873,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/vweak_110_1.wav,110,veryweak,1.3407186132175697,,,,,0,4,4,32,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.4362711519934237, 2.3840073680039495, 3.3866943690227345, 4.953835882013664, 6.303110659006052, 7.441693022963591, 8.021548706921749, 8.90375669603236]",space,1.0237795769935474,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/medium_105_1.wav,105,medium,1.6663985327680324,,,,,0,5,5,21,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.3942148450296372, 2.0203405410284176, 2.9868349590105936, 3.7198768759844825, 4.553503421018831, 5.18691084405873, 5.77067205007188, 6.387318507069722, 6.979287936002947, 7.620156403980218, 8.221504235058092, 8.820426278049126, 9.37828659499064]",space,0.6171882710186765,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/vweak_100_1.wav,100,veryweak,1.441965324529146,,,,,0,6,6,4,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.8188350989948958, 1.652861458947882, 2.360316777951084, 3.2702367700403556, 3.8944237569812685, 4.5034608950372785, 5.2844241430284455, 6.019592082942836, 6.736804449930787, 7.554067683988251, 8.489054618985392]",space,0.6258371110307053,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/vweak_95_2.wav,95,veryweak,1.1399322262275913,,,,,0,7,7,30,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.8533364209579304, 2.5043141639325768, 3.12741356191691, 3.7375632749171928, 4.345286599942483, 4.9870170599315315, 5.609071074984968, 6.237450760905631, 6.820507655967958, 7.487660091952421, 8.07121660397388, 8.695629683905281, 9.354479803936556]",space,0.8130312239518389,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/medium_100_1.wav,100,medium,0.9469441789171564,,,,,0,8,8,47,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.119232787983492, 1.7525187749415636, 2.4025922239525244, 3.0522274159593508, 3.6356555819511414, 4.285791040980257, 5.052019740920514, 5.619445888907649, 6.2010748609900475, 7.011196495965123, 7.586740985978395, 8.220557171967812, 8.852902920916677]",space,0.7664838830241933,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/vweak_105_1.wav,105,veryweak,2.000868469173824,,,,,0,9,9,7,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.3269231719896197, 1.802706699934788, 2.4041969999670982, 3.003564012935385, 3.569579510949552, 4.17474805098027, 4.753575905924663, 5.344761893968098, 5.936664759996347, 6.487151097971946, 7.103188420995139, 7.737596570979804, 8.312025871942751, 8.952122382936068]",space,0.7693607698893175,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/perfect_110_0.wav,110,perfect,1.8837210676143408,,,,,0,10,10,16,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.3438812219537795, 1.7528995550237596, 2.1863350089406595, 2.7269008469302207, 3.269465546007268, 3.8196623240364715, 4.3530524970265105]",space,0.9043900329852477,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/weak_90_1.wav,90,weak,1.282481392037714,,,,,0,11,11,29,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.9952889459673315, 2.1453319820575416, 2.9791891670320183, 3.9460575679549947, 4.745814449037425, 5.5204126220196486, 6.546432325034402, 7.747869587969035, 8.947427351027727]",space,0.6695581501116976,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/perfect_100_0.wav,100,perfect,2.1771183722066985,,,,,0,12,12,2,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.9538235570071265, 1.502705230959691, 2.102308831992559, 2.7194766040192917, 3.3022009399719536, 3.9364021869841963, 4.503811312955804, 5.156085919006728]",space,0.5369611450005323,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
./stimuli_1/tmp/perfect_110_1.wav,110,perfect,1.7704271467992068,,,,,0,13,13,18,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.2521465939935297, 1.702075500972569, 2.218986149993725, 2.817621728987433, 3.319001773954369, 3.8194775169249624, 4.336644904920831]",space,0.4364403230138123,,,,,,,GG,001,2019_Jul_23_1421,rev-kura_tap_2blocks,3.0.6,60.12230992311919,
