sndfile,tempo,cond,delay,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,19.17349837499205,,,,,,,,,,,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/medium_110_1.wav,110,medium,1.222685394,0,0,0,4,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.487061519990675, 3.7482366350013763, 3.911362166982144, 4.028096241992898, 4.354174630949274, 4.520852503948845, 4.653991766041145, 4.921574353938922, 5.070678830030374, 5.220635970006697, 5.504533038008958, 5.687984592979774, 5.837808814947493, 6.104264262947254, 6.294943613931537, 6.43043311801739, 6.687562947976403, 6.854751072009094, 6.987562446040101, 7.254498017951846, 7.488156190956943, 7.637852874002419, 7.879982918035239, 8.087592517957091, 8.754284032969736, 9.287975545972586]",space,1.2887131709139794,,,,,,,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/medium_100_1.wav,100,medium,1.797198505,0,1,1,0,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.0970910779433325, 3.312449963996187, 3.684522358002141, 3.936588766053319, 4.121637861942872, 4.338703991030343, 4.654014352010563, 4.83881055098027, 5.040219675051048, 5.323517433018424, 5.5202384679578245, 5.688120290986262, 5.940001638955437, 6.153909845976159, 6.3535990649834275, 6.622378575964831, 6.8377202729461715, 7.037548842956312, 7.270908182952553, 7.463808833970688, 7.647177158971317, 7.880487235030159, 8.097144866012968, 8.304414013051428, 8.536356686032377, 8.747077462030575, 8.946916450047866, 9.14775203098543, 9.364060965017416]",space,1.2431695450795814,,,,,,,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/vweak_105_1.wav,105,veryweak,1.91267155,0,2,2,3,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.0855086549418047, 3.249924639938399, 3.4525022068992257, 3.6371202629525214, 3.8364077688893303, 3.9854243739973754, 4.168976508895867, 4.353093848912977, 4.53581170598045, 4.740899871918373, 4.910599134978838, 5.0963540049269795, 5.277588158962317, 5.425725959939882, 5.612126858904958, 5.795099409995601, 5.964140828000382, 6.176940573961474, 6.342737565981224, 6.526632386958227, 6.711390046984889, 6.925887142890133, 7.079461305984296, 7.246517538907938, 7.460158499889076, 7.62718726193998, 7.792735424940474, 7.991758851916529, 8.170127269928344, 8.336766537977383, 8.536861754953861, 8.719904857920483, 8.869447503937408, 9.05300759896636, 9.259373572887853]",space,0.9192501839715987,,,,,,,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/medium_110_1.wav,110,medium,0.970866786,0,3,3,2,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.4356020869454369, 3.454497011960484, 3.6704267689492553, 3.853457032935694, 4.021213217987679, 4.170450770994648, 4.3451758628943935, 4.52769781590905, 4.710665306891315, 4.8802325029391795, 5.058026745915413, 5.228749064961448, 5.411299177911133, 5.5785184929845855, 5.811893957899883, 5.977611420908943, 6.1440029359655455, 6.378566798986867, 6.559919599909335, 6.760210649925284, 6.9468157649971545, 7.130987825919874, 7.29639629193116, 7.4810139739420265, 7.642934237956069, 7.762712998897769, 7.927916846936569, 8.081541929976083, 8.228084556991234, 8.394969366956502, 8.53141411091201, 8.814430611906573, 9.14777471893467, 9.31285215599928]",space,1.0185896020848304,,,,,,,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/strong_90_1.wav,90,strong,1.013023596,0,4,4,1,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.5186947060283273, 1.7197806279873475, 1.8530593570321798, 2.3756697750650346, 2.493688354967162, 3.069524329039268, 3.202841061982326, 3.335876111057587, 3.7534669230226427, 3.9291140739805996, 4.028471653000452, 4.4692025519907475, 4.635742463055067, 4.751688043004833, 5.169524058001116, 5.322043718071654, 5.44583113596309, 5.910961176035926, 6.063776002964005, 6.209138605045155, 6.591221102979034, 6.758618329069577, 6.8476663450710475, 7.304266195045784, 7.454705526004545, 7.5701550940284505, 7.987440231023356, 8.153771576005965, 8.28762098099105, 8.721063729026355, 8.879003743990324, 8.996287727029994, 9.421326593030244, 9.571142102009617]",space,1.3882900499738753,,,,,,,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
,,,,,,,,,,,,,,,,,,,,,,space,5.6431309500476345,,,,,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/weak_105_2.wav,105,weak,2.065051120273794,,,,,0,0,0,48,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.4436700099613518, 2.55937728297431, 2.742728555924259, 2.8762441569706425, 3.0437848269939423, 3.2099368310300633, 3.3616524880053475, 3.511937186936848, 3.7866873840102926, 3.9372282900149003, 4.087773897917941, 4.237144985934719, 4.369903180981055, 4.53732628992293, 4.686676322948188, 4.862160239950754, 5.026883358950727, 5.1790908689145, 5.377501487964764, 5.5483672600239515, 5.711551466956735, 5.979186824988574, 6.186863804003224, 6.353095309925266, 6.520645281998441, 6.753556606941856, 6.920647808001377, 7.087937488919124, 7.270631046965718, 7.461830200976692, 7.627711290959269, 7.793550656992011, 7.962370515917428, 8.060190651915036, 8.246302102925256, 8.381082735024393, 8.564474807935767, 8.72826848202385, 8.879679234931245, 9.044348340947181, 9.211222262936644, 9.36165398801677]",space,0.5114064019871876,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/strong_110_2.wav,110,strong,1.9369911731854192,,,,,0,1,1,6,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.7330568470060825, 0.9265122330980375, 1.0953121971106157, 1.2682713241083547, 1.418543167063035, 1.6519961809972301, 1.8351739860372618, 2.1197712880093604, 2.285827837069519, 2.4784745930228382, 2.6119986830744892, 2.7746659260010347, 2.9113385929958895, 3.094368730089627, 3.208620129036717, 3.359566418104805, 3.5122339740628377, 3.679133410099894, 3.825817874050699, 3.944743523024954, 4.127970841014758, 4.29394119605422, 4.442839279072359, 4.579857114003971, 4.743101184023544, 4.896159618045203, 5.012758883996867, 5.244958634022623, 5.429191997041926, 5.576285105082206, 5.794046322000213, 5.9587920140475035, 6.112563100061379, 6.260903112008236, 6.428820304106921, 6.611659710062668, 6.777929203002714, 7.009373189997859, 7.194222777034156, 7.359954114072025, 7.544115249067545, 7.712043998064473, 7.896609052084386, 8.029841683106497, 8.17953161103651, 8.361018584109843, 8.50984427810181, 8.660519594093785, 8.84446133801248, 9.009680745075457, 9.159661222016439, 9.343092829105444, 9.5101071750978]",space,0.7004006180213764,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/perfect_105_0.wav,105,perfect,2.376167666662905,,,,,0,2,2,11,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.328504338976927, 1.8625535409664735, 2.418958361959085, 2.9863926749676466, 3.5531749880174175, 4.128334166947752, 4.686796043999493, 8.136276478995569, 8.720727802021429, 9.254135034047067, 9.803826826042496, 10.380409725941718, 10.911631659953855]",space,1.4030058810021728,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/perfect_90_0.wav,90,perfect,1.6568604876231643,,,,,0,3,3,35,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.429128373041749, 2.055215760017745, 2.6954084070166573, 3.329363883007318, 3.96872170700226, 4.629615755053237, 5.279883814044297, 5.929242686019279, 6.596211686031893, 7.29599794105161, 7.954558146069758, 8.596649695071392, 9.219844981096685, 9.862655034055933, 10.538072265102528]",space,0.14998945291154087,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/strong_105_1.wav,105,strong,1.8750845453371756,,,,,0,4,4,25,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.1926224610069767, 1.3689054329879582, 1.5530181559734046, 1.7025577469030395, 1.9024613309884444, 2.0531485179672018, 2.203039760934189, 2.369048820924945, 2.543169023003429, 2.6754437619820237, 2.8433977789245546, 3.012155615957454, 3.163064111955464, 3.3366447729058564, 3.503024168894626, 3.6531162309693173, 3.802892855950631, 4.253225047956221, 4.425332529004663, 4.609020793926902, 4.743082795990631, 4.912221338949166, 5.076610115007497, 5.247088829986751, 5.407296850928105, 5.5364976359996945, 5.703484920901246, 5.869961890974082, 6.019918638980016, 6.203870235942304, 6.370720832957886, 6.547477327985689, 6.710460337926634, 6.870299665955827, 7.037514057941735, 7.203622616943903, 7.38610607793089, 7.537272955989465, 7.687436567968689, 7.869879756006412, 8.027701585902832, 8.16371565090958, 8.313188356929459, 8.510571490973234, 8.645230571972206, 8.828717430005781, 8.963326360913925, 9.112679023994133, 9.270202928921208]",space,2.329347717924975,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
./stimuli_1/tmp/medium_110_1.wav,110,medium,1.6223651347148935,,,,,0,5,5,10,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.45068376301787794, 0.634281971026212, 0.8006560769863427, 1.0506044150097296, 1.2006331250304356, 1.333639435004443, 1.5008881010580808, 1.625978811061941, 1.8081787429982796, 1.9437991740414873, 2.0774354020832106, 2.2410730770789087, 2.3780514440732077, 2.5394898670492694, 2.7082576660905033, 2.8407671810127795, 2.9418343980796635, 3.1084329050499946, 3.2276725430274382, 3.3610761360032484, 3.5257795490324497, 3.691934154019691, 3.793056160095148, 3.9593995910836384, 4.108990580076352, 4.274540351005271, 4.410725451074541, 4.528302920050919, 4.67518884409219, 4.840582320000976, 4.978376397048123, 5.1416143900714815, 5.258112203096971, 5.424641908030026, 5.560231980052777, 5.708411141065881, 5.862301983986981, 6.01882011606358, 6.168850621092133, 6.3012759680859745, 6.45229696505703, 6.619070932036266, 6.768200203077868, 6.935626982012764, 7.068258101004176, 7.202153103076853, 7.368586812051944, 7.501358615001664, 7.793176589068025, 7.943687363062054, 8.085185068077408, 8.252002214081585, 8.419278964982368, 8.552598081994802, 8.702518051024526, 8.869668488041498, 9.035781283047982, 9.168299186043441, 9.352601799066179]",space,0.8037743780296296,,,,,,,HH,001,2019_Jul_23_1509,rev-kura_tap_2blocks,3.0.6,59.890161569470905,
