sndfile,tempo,cond,delay,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,12.935105016920716,,,,,,,,,,,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
./stimuli_1/tmp/vweak_105_1.wav,105,veryweak,1.91267155,0,0,0,3,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.0532965819584206, 3.6365215469850227, 4.220240257913247, 4.82403041399084, 5.4032402449520305, 5.970587281975895, 6.55358092894312, 7.136803925968707, 7.72734075691551, 8.3371655769879, 8.903355914982967]",space,1.6916100250091404,,,,,,,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
./stimuli_1/tmp/medium_100_1.wav,100,medium,1.797198505,0,1,1,0,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.120171020971611, 3.7415447320090607, 4.3859462949912995, 5.053140416042879, 5.7030796620529145, 6.386295545031317, 7.003425059956498, 7.653658300056122, 8.291937830043025, 8.903728183009662]",space,2.6542226490564644,,,,,,,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
./stimuli_1/tmp/medium_110_1.wav,110,medium,1.222685394,0,2,2,4,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.9191583950305358, 3.518683747970499, 4.1026309540029615, 4.702284767990932, 5.286009190953337, 5.869803540990688, 6.38671038497705, 6.9699250280391425, 7.543318242998794, 8.152839969028719, 8.719798794016242, 9.303327857982367]",space,0.9764015590772033,,,,,,,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
./stimuli_1/tmp/medium_110_1.wav,110,medium,0.970866786,0,3,3,2,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.9701623829314485, 3.5537957499036565, 4.119902777951211, 4.703622894012369, 5.2703276459360495, 5.871131422929466, 6.454178906977177, 7.003379227942787, 7.570805502939038, 8.177317561930977, 8.720784152974375, 9.320810033939779]",space,0.5764553339686245,,,,,,,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
./stimuli_1/tmp/strong_90_1.wav,90,strong,1.013023596,0,4,4,1,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.1527684640605003, 3.8357806720305234, 4.502776441047899, 5.219508342095651, 5.919978677062318, 6.609229551046155, 7.336293993052095, 8.036831633071415, 8.73746185505297, 9.475047306041233]",space,0.4694550809217617,,,,,,,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
,,,,,,,,,,,,,,,,,,,,,,space,6.625924231018871,,,,,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
./stimuli_1/tmp/strong_105_1.wav,105,strong,1.8750845453371756,,,,,0,0,0,25,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.6693238749867305, 3.2265286359470338, 3.8034847929375246, 4.369228404946625, 4.919947298942134, 5.469959995010868, 6.000901866005734, 6.519787922035903, 7.1034576300298795, 7.625163369928487, 8.170513793011196, 8.703573917038739, 9.270224613021128]",space,0.5692453840747476,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
./stimuli_1/tmp/perfect_110_0.wav,110,perfect,1.8837210676143408,,,,,0,1,1,16,,,,,,,,,,,,,"['space', 'space', 'space', 'space']","[2.7697957259370014, 3.326759440940805, 3.8870388040086254, 4.419918601983227]",space,1.3356254620011896,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
./stimuli_1/tmp/medium_100_1.wav,100,medium,0.9469441789171564,,,,,0,2,2,47,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.1435573279159144, 3.8028032679576427, 4.40976372291334, 5.069885851931758, 5.703526236000471, 6.353886477998458, 7.003938784007914, 7.653147335979156, 8.2868632809259, 8.953854089952074]",space,0.5500551610020921,,,,,,,II,001,2019_Jul_24_1507,rev-kura_tap_2blocks,3.0.6,60.12126062071328,
