taponset,subcat,tnt,coupling,r,psi
onset,regular,nt,strong,0.9666315221357354,3.1111456269098468
tap,regular,nt,strong,0.5920830280837687,-0.08934625727528776
onset,regular,nt,medium,0.4597955300961672,3.066113118625546
tap,regular,nt,medium,0.49801867587064236,-0.2591220037688663
onset,regular,nt,weak,0.34317761474172814,3.048578381543144
tap,regular,nt,weak,0.3781801472305403,-0.19629230442330456
onset,regular,nt,none,0.08039817254714557,2.8627386369855934
tap,regular,nt,none,0.014501204553309785,-0.8046945994557089
onset,hybrid,nt,strong,0.9666315221357354,3.1111456269098468
tap,hybrid,nt,strong,0.6417793984908388,0.13408800044971433
onset,hybrid,nt,medium,0.4597955300961672,3.066113118625546
tap,hybrid,nt,medium,0.4723134679662996,-0.2701556159519742
onset,hybrid,nt,weak,0.34317761474172814,3.048578381543144
tap,hybrid,nt,weak,0.36318664066825,-0.08109684184645725
onset,hybrid,nt,none,0.08039817254714557,2.8627386369855934
tap,hybrid,nt,none,0.007480667233712115,-1.0952868046082878
onset,fast,nt,strong,0.9666315221357354,3.1111456269098468
tap,fast,nt,strong,0.5963771590520858,-0.0060705629316597405
onset,fast,nt,medium,0.4597955300961672,3.066113118625546
tap,fast,nt,medium,0.12302541201142476,-0.12122655790840034
onset,fast,nt,weak,0.34317761474172814,3.048578381543144
tap,fast,nt,weak,0.07186075261865335,-0.07057735151567267
onset,fast,nt,none,0.08039817254714557,2.8627386369855934
tap,fast,nt,none,0.005954032063413913,0.14270751890648276
