subject,subcat,coupling,tapsection,mx,sx
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,strong,0,0.9956212114333333,0.07535526637198763
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,strong,1,0.9918222799333332,0.03700067820445415
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,strong,2,1.0055193821666666,0.03298060202449076
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,strong,3,0.9913634541666667,0.029657481711654173
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,strong,4,1.0035675450000001,0.02694371652027237
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,strong,5,0.9936829278,0.0439917507516681
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,strong,6,nan,nan
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,strong,0,1.2101551110999997,0.7505861798603699
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,strong,1,1.0274454444666665,0.17538412176572982
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,strong,2,1.0678770689655173,0.24022928053000625
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,strong,3,1.0479129012592592,0.16878477185719196
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,strong,4,0.9992701852222221,0.07896588310704052
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,strong,5,1.0550513332999998,0.2200838218173339
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,strong,6,0.946133333,0.0
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,strong,0,0.9616066666333334,0.11073787349800428
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,strong,1,0.9956087776999999,0.06211220255234744
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,strong,2,0.9965386111000002,0.04580593266679701
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,strong,3,0.9912625554666666,0.04890622395571084
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,strong,4,1.0048880556333333,0.0689742816954022
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,strong,5,0.9774654486538462,0.038426305180849565
