key_resp.keys,key_resp.rt,practice_taps.keys,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,practice_taps.rt,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,9.14379,,space,2.064265,0.0,0.0,0.0,1.0,1.0,block_2/none_t_119_1.wav,timbre,t,none,119.0,1.172164666,14.53370662,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,1.1478,0.0,1.0,1.0,3.0,1.0,block_2/weak_t_119_2.wav,timbre,t,weak,119.0,2.180699762,12.4495433,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,"[0.5868550001177937,1.3038200000301003,1.9790449999272823,2.5624949999619275,3.3740650000981987,4.039515000069514,4.542919999919832,5.011149999918416,5.466070000082254,5.9769250000827014,6.505295000039041,6.973419999936596,7.505445000017062,8.04270499991253,8.555105000035837,9.282654999988154,9.718705000123009,10.181815000018105]",,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,1.00485,0.0,2.0,2.0,0.0,1.0,block_1/strong_n_81_2.wav,no,n,strong,81.0,1.560205308,16.72288105,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,"[0.7678099998738617,1.3637149999849498,2.0277099998202175,2.705864999908954,3.4978249999694526,4.161054999800399,4.935134999919683,5.668420000001788,6.434629999799654,7.215859999880195,7.980364999966696,8.738534999778494,9.479404999874532,10.342409999808297,10.995049999793991,11.747864999808371,12.55273999995552,13.309079999802634,14.104719999944791,14.823659999994561,15.517559999832883]",,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.66713,0.0,3.0,3.0,2.0,1.0,block_1/weak_n_119_1.wav,no,n,weak,119.0,1.75153664,11.06591306,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,"[0.9135700000915676,1.5464149999897927,2.2893449999392033,2.8697549998760223,3.6404200000688434,4.439155000029132,5.08960000006482,6.0742450000252575,6.879160000011325,7.77898499998264,8.54090499994345,9.137709999922663]",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_n_72_1.wav,no,n,strong,72.0,1.207870441,16.92877747,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,,space,4.963235,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4852299999911338,1.053929999936372,1.6960899999830872,2.464505000039935,3.262305000098422,4.040294999955222,4.887860000133514,5.732820000033826,6.54261999996379,7.369309999980032,8.202435000101104,8.93625000002794,9.729490000056103,10.56199000007473,11.371405000099912,12.13554499996826,12.975485000060871,13.744840000057593,14.54111499991268,15.340480000013486,16.20852500014007]",space,4.27798,0.0,0.0,0.0,33.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_n_105_2.wav,no,n,weak,105.0,1.25756433,14.19910628,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.38794000004418194,1.0892399998847395,1.827599999960512,2.5264300000853837,3.3698899999726564,4.246405000099912,5.015840000007302,5.727584999985993,6.333379999967292,7.059170000022277,7.768954999977723,8.43442999990657,9.169410000089556,9.811280000023544,10.498635000083596,11.383209999883547,12.172959999879822,12.805380000034347]",space,1.06773,0.0,1.0,1.0,26.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_n_119_2.wav,no,n,none,119.0,2.128313718,13.68559263,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3649250001180917,0.9676600000821054,1.601729999994859,2.4683550000190735,2.8257500000763685,3.158915000036359,3.5765100000426173,3.969950000056997,4.401835000142455,4.770800000056624,5.270035000052303,5.637740000151098,6.106440000003204,6.564669999992475,7.035700000124052,7.470154999988154,7.870145000051707,8.333710000151768,8.809460000135005,9.275515000103042,9.737745000049472,10.177075000014156,10.704455000115559,11.063555000117049,11.534545000176877]",space,0.86822,0.0,2.0,2.0,25.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_n_105_2.wav,no,n,medium,105.0,2.100494097,12.22140113,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4455350001808256,0.9330400000326335,1.5610900002066046,2.2007500000763685,2.7660700001288205,3.237470000050962,3.732740000123158,4.236329999985173,4.702310000080615,5.217760000145063,5.739535000175238,6.237975000170991,6.748060000129044,7.219475000165403,7.738210000097752,8.230085000162944,8.780970000196248,9.308725000126287,9.90728500019759,10.376095000188798]",space,1.077585,0.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_n_81_2.wav,no,n,none,81.0,1.043160571,20.19454379,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3939300000201911,0.8046049999538809,1.371474999934435,1.9039499999489635,2.4132900000549853,2.864704999839887,3.3007699998561293,4.08352499990724,4.710904999868944,5.363054999848828,6.0005649998784065,6.682984999846667,7.373080000048503,8.037354999920353,8.741944999899715,9.439464999828488,10.176835000049323,10.873589999973774,11.57626000000164,12.252639999845996,12.916169999865815,13.65868499991484,14.478889999911189,15.143489999929443,15.687930000014603,16.115754999918863,16.641709999879822,17.17503000004217,17.700639999937266,18.244084999896586,18.821784999920055,19.386214999947697]",space,11.388865,0.0,4.0,4.0,28.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_n_72_1.wav,no,n,none,72.0,1.339316998,21.90480453,,,,Yes,Bose QC 25,0,,m,52,R,Yes,1,2020-10-05_06h11.14.448,kura-A1,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3938999997917563,1.0066299999598414,1.5369149998296052,2.1318949998822063,3.2068699998781085,3.743894999846816,4.267994999885559,4.808314999798313,5.400804999982938,5.963844999903813,6.467429999960586,7.011064999969676,7.571809999877587,8.072569999843836,8.665004999842495,9.212199999950826,9.742414999986067,10.274739999789745,11.007454999955371,11.569599999813363,12.130624999990687,12.795930000022054,13.37726500001736,13.891739999875426,14.409049999900162,14.880494999932125,15.456709999823943,15.993060000007972,16.616859999950975,17.14663999993354,17.680964999832213,18.384129999903962,18.949534999905154,19.477130000013858,20.249944999814034]",space,0.63465,0.0,5.0,5.0,18.0,1.0,,,,,,,,,,,,,
