key_resp.keys,key_resp.rt,practice_taps.keys,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?'",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,practice_taps.rt,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt,"If you are not an MTurk worker, please provide your email address"
space,176.711,,space,2981.164,0.0,0.0,0.0,2.0,1.0,block_1/weak_n_72_4.wav,no,n,weak,72.0,1.922330121,17.89675189,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,5.998,0.0,1.0,1.0,0.0,1.0,block_1/medium_n_105_3.wav,no,n,medium,105.0,1.683245346,13.36533151,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,"[0.581000000000131,0.900000000000091,1.0489999999999782,1.15099999999984,1.2999999999997272,1.4329999999999927,1.531999999999698,1.650000000000091,1.768999999999778,1.8969999999999345,2.0090000000000146,2.130999999999858,2.268000000000029,2.4149999999999636,2.6159999999999854,2.7489999999997963,2.880999999999858,2.9839999999999236,3.1159999999999854,3.2649999999998727,3.380999999999858,3.5149999999998727,3.6479999999996835,3.9329999999999927,4.164999999999964,4.299999999999727,4.45699999999988,4.610999999999876,4.666999999999916,4.815000000000055,4.916999999999916,5.081000000000131,5.23299999999972,5.366999999999734,5.530999999999949,5.697999999999865,5.846999999999753,5.980000000000018,6.1159999999999854,6.266999999999825,6.416999999999916,6.543999999999869,6.695999999999913,6.831000000000131,6.998000000000047,7.144999999999982,7.315000000000055,7.481999999999971,7.6469999999999345,7.882000000000062,8.031999999999698,8.166999999999916,8.331000000000131,8.465999999999894,8.601000000000113,8.748999999999796,8.880999999999858,9.018999999999778,9.184999999999945,9.415999999999713,9.565999999999804,9.728999999999814,9.898999999999887,10.032999999999902,10.184999999999945,10.31399999999985,10.46499999999969,10.632000000000062,10.782999999999902,10.947999999999865,11.121999999999844,11.281999999999698,11.431999999999789,11.572000000000116,11.713999999999942,11.86999999999989,12.016000000000076]",,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.683,0.0,2.0,2.0,1.0,1.0,block_2/medium_t_119_4.wav,timbre,t,medium,119.0,2.073396767,11.89421309,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,"[1.0190000000002328,1.168999999999869,1.3200000000001637,1.4700000000002547,1.6610000000000582,1.9949999999998909,2.2260000000001128,2.3830000000002656,2.5660000000002583,2.7849999999998545,2.9650000000001455,3.1669999999999163,3.411000000000058,3.7609999999999673,4.016000000000076,4.226000000000113,4.4340000000001965,4.682000000000244,4.945000000000164,5.21100000000024,5.443000000000211,5.682999999999993,5.942000000000007,6.360999999999876,6.833999999999833,7.333000000000084,7.860000000000127,8.384999999999764,8.921000000000276,9.409000000000106,9.943000000000211]",,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.479,0.0,3.0,3.0,3.0,1.0,block_2/strong_t_119_4.wav,timbre,t,strong,119.0,2.380207574,12.24809873,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,"[1.0850000000000364,1.5019999999999527,1.9789999999998145,2.5419999999999163,3.0239999999998872,3.5299999999997453,4.040999999999713,4.530999999999949,5.038000000000011,5.557999999999993,6.080999999999676,6.5659999999998035,7.074000000000069,7.539999999999964,8.031999999999698,8.545999999999822,9.047999999999774,9.570999999999913,10.077999999999975]",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_n_81_4.wav,no,n,weak,81.0,2.484743178,17.5438815,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,space,16.54,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.48699999999917054,0.6439999999993233,1.0309999999994943,1.7339999999994689,2.5419999999994616,3.3789999999994507,4.1929999999993015,4.958999999999378,5.677999999999429,6.418999999999414,6.9109999999996035,7.619999999999436,8.321999999999207,9.093999999999596,9.850999999999203,10.609999999999218,11.359999999999218,12.162999999999556,12.895999999999276,13.712999999999283,14.462999999999283,15.270999999999276]",space,1.389,0.0,0.0,0.0,36.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_n_92_4.wav,no,n,strong,92.0,2.276261723,15.98016195,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.46100000000024,2.0270000000000437,2.700000000000273,3.407000000000153,4.1030000000000655,4.826000000000022,5.5340000000001055,6.235000000000127,6.937000000000353,7.699000000000069,8.383000000000266,9.108000000000175,9.766000000000076,10.501000000000204,11.187000000000353,11.959000000000287,12.69900000000007,13.329000000000178,14.094000000000051]",space,16.304,0.0,1.0,1.0,34.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_n_92_3.wav,no,n,weak,92.0,1.887522896,14.6307882,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.3110000000001492,1.8910000000000764,2.493000000000393,3.199000000000069,3.82300000000032,4.4909999999999854,5.119000000000142,5.762000000000171,6.4900000000002365,7.124000000000251,7.786000000000058,8.460000000000036,9.084000000000287,9.768000000000029,10.390000000000327,11.057999999999993,11.635000000000218,12.273999999999887,12.928000000000338]",space,0.622,0.0,2.0,2.0,5.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_n_81_4.wav,no,n,strong,81.0,1.727706814,17.69954355,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.167000000000371,1.7070000000003347,2.51700000000028,3.324000000000069,4.150000000000091,4.999000000000251,5.7710000000001855,6.567000000000007,7.387000000000171,8.173999999999978,8.981999999999971,9.850000000000364,10.656000000000404,11.429000000000087,12.252000000000407,13.044000000000324,13.875,14.702000000000226,15.518000000000029,16.333000000000084]",space,1.466,0.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_n_92_3.wav,no,n,strong,92.0,1.754608557,14.24499404,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9079999999999018,1.40099999999984,1.97400000000016,2.5579999999999927,3.1909999999998035,3.8339999999998327,4.518000000000029,5.135999999999967,5.744999999999891,6.44399999999996,7.045999999999822,7.692999999999756,8.328999999999724,8.972999999999956,9.53400000000056,10.161999999999807,10.806999999999789,11.411999999999807,12.052000000000135,12.652999999999793]",space,0.77,0.0,4.0,4.0,39.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_n_105_3.wav,no,n,medium,105.0,2.417465983,14.09955215,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9780000000000655,1.5019999999999527,2.0410000000001673,2.594000000000051,3.157000000000153,3.737999999999829,4.335000000000036,4.889000000000124,5.469000000000051,6.088999999999942,6.68100000000004,7.242000000000189,7.858000000000175,8.407000000000153,8.951000000000022,9.53500000000031,10.16000000000031,10.66800000000012,11.309999999999945,11.902000000000044]",space,0.5,0.0,5.0,5.0,0.0,1.0,,,,,,,,,,,,,,
