key_resp.keys,key_resp.rt,practice_taps.keys,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session ,date,expName,psychopyVersion,OS,frameRate,practice_taps.rt,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,149.26907,,space,1.467915,0.0,0.0,0.0,0.0,1.0,block_2/none_n_92_3.wav,no,n,none,92.0,2.306164339,18.20620969,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.92137,0.0,1.0,1.0,1.0,1.0,block_2/medium_n_119_4.wav,no,n,medium,119.0,1.224634286,9.531709116,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,"[2.8428249999997206,3.1923949999909382,3.5869200000015553,4.011129999998957,4.469589999993332,4.9037200000020675,5.330239999981131,5.809154999995371,6.270199999999022,6.710209999990184,7.168554999982007,7.623525000002701,8.046464999992168,8.48696499998914]",,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.78413,0.0,2.0,2.0,3.0,1.0,block_1/medium_t_119_4.wav,timbre,t,medium,119.0,1.752316959,11.57313329,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,"[1.4596450000244658,1.9419550000166055,2.3441450000100303,2.8857000000134576,3.304985000024317,3.8674300000129733,4.369774999999208,4.902330000011716,5.333125000004657,5.858540000015637,6.3681999999971595,6.8391650000121444,7.334969999996247,7.84980500000529,8.414510000002338,8.949720000004163,9.453380000020843,10.020105000003241]",,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.459045,0.0,3.0,3.0,2.0,1.0,block_2/weak_n_105_4.wav,no,n,weak,105.0,1.982674472,12.75578105,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,"[0.7101299999922048,1.1679049999802373,1.5582399999839254,2.069569999992382,2.8140149999817368,3.1976749999739695,3.805369999987306,4.401059999974677,4.88763499999186,5.358775000000605,5.86186999999336,6.356169999984559,6.987020000000484,7.47198999999091,7.952059999981429,8.47998999999254,9.106469999998808,9.560249999980442,10.178560000000289,10.516839999996591,11.040314999991097]",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_t_92_4.wav,timbre,t,none,92.0,2.400883628,17.24192671,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,space,4.91455,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.1718050000199582,2.187529999995604,2.905460000009043,3.5632599999953527,4.264125000016065,4.9395950000034645,5.897620000003371,6.8994800000218675,7.560150000004796,8.2867350000015,9.256485000019893,10.113895000016782,11.062575000018114,11.927250000007916,12.903005000000121,13.843140000011772,14.865985000011278]",space,0.60174,0.0,0.0,0.0,22.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_t_72_3.wav,timbre,t,weak,72.0,1.571303333,17.03996546,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.0570299999963026,2.385020000016084,2.9244150000158697,4.00204500000109,4.829530000017257,5.625300000014249,6.44460000001709,7.171670000010636,7.883430000016233,8.668304999999236,9.504805000004126,10.268559999996796,11.109635000000708,11.854335000010906,12.699554999999236,13.572299999999814,14.253705000010086,15.00986499999999,15.737270000012359]",space,1.30649,0.0,1.0,1.0,26.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_t_105_3.wav,timbre,t,medium,105.0,1.131854181,11.90867958,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.161370000016177,1.7052649999968708,2.2380899999989197,2.812340000004042,3.34330000000773,3.885485000006156,4.417645000008633,4.976159999991069,5.486960000009276,6.056520000012824,6.567030000005616,7.16915999999037,7.752254999999423,8.253920000017388,8.81062999999267,9.331655000016326,9.883525000012014,10.431935000000522,10.985959999990882]",space,0.485215,0.0,2.0,2.0,16.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_t_92_3.wav,timbre,t,strong,92.0,1.987733848,15.03440052,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2874149999988731,0.9557299999869429,1.4313099999853875,2.046665000001667,2.676739999995334,3.3549549999879673,4.038360000005923,4.675794999988284,5.3688400000100955,6.014085000002524,6.6618149999994785,7.344840000005206,8.01555000001099,8.63097500000731,9.351829999999609,9.985209999984363,10.658555000001797,11.337009999988368,12.004920000006678,12.647529999987455,13.287145000009332]",space,0.433705,0.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_t_72_3.wav,timbre,t,medium,72.0,2.203768917,18.98399567,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3050199999997858,0.9482800000114366,1.6119900000048801,2.3980049999954645,3.300855000008596,4.1676750000042375,5.031829999992624,5.860279999993509,6.712155000015628,7.619260000006761,8.471064999990631,9.326365000015358,10.283460000006016,11.067494999995688,11.983384999999544,12.772595000016736,13.6784050000133,14.526574999996228,15.488219999999274,16.422435000014957]",space,0.843075,0.0,4.0,4.0,31.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_t_72_3.wav,timbre,t,strong,72.0,1.503157527,17.98057249,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4278200000117067,1.1033950000128243,1.7754899999999907,2.53219500000705,3.379864999995334,4.19607000000542,5.020145000016782,5.917715000017779,6.751630000013392,7.519580000021961,8.438340000022436,9.223324999999022,10.068465000018477,10.901080000010552,11.75847000000067,12.570644999999786,13.462675000017043,14.402640000014799,15.187059999996563,15.886620000004768,16.784169999998994]",space,0.74269,0.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,
